-1.221,0.014,9.596
0.024,0.182,9.687
-1.393,-0.373,11.459
-0.895,0.235,9.275
-1.504,0.709,9.807
-1.695,0.306,10.238
-1.422,-0.144,10.094
-0.115,-0.259,9.069
0.268,-0.239,10.467
-0.005,0.393,10.218
-2.619,-0.809,11.526
-0.91,0.651,9.773
-2.337,0.172,9.629
-0.8,0.613,9.481
-0.321,0.043,9.845
-1.159,0.12,9.433
-1.537,-0.034,9.29
-1.408,1.245,9.668
-0.742,-0.297,10.266
1.48,0.728,9.041
-0.402,0.675,8.485
3.045,-1.724,10.812
-1.346,-1.006,8.878
-0.766,5.986,7.767
-8.097,-2.653,15.811
-0.603,2.974,5.358
-8.068,1.216,11.32
4.166,-3.505,9.141
-0.177,7.609,8.935
-4.477,0.354,4.027
0.843,4.075,13.063
-3.62,-7.939,14.624
5.516,10.142,12.345
1.542,-5.282,10.123
-0.148,1.8,4.922
0.249,5.732,16.951
1.408,-6.34,4.487
-3.098,4.219,9.491
-6.507,11.751,17.037
4.673,-3.031,1.858
-0.68,-2.629,7.015
-3.917,8.825,13.68
6.661,-0.249,13.297
0.704,-13.647,6.9
-2.768,13.858,2.274
6.479,-0.369,16.893
-1.647,-0.527,5.995
-3.074,1.781,12.852
-3.041,8.183,18.589
1.446,-6.225,2.308
1.93,0.953,10.879
-2.71,11.071,15.06
1.978,-4.688,5.526
-2.662,-1.006,12.708
-1.365,6.34,18.162
2.643,-7.609,-0.12
1.757,-1.872,11.655
-4.563,15.366,8.878
6.244,-0.536,10.089
3.706,-5.243,1.556
-1.417,-12.574,6
2.054,-9.764,9.438
0.589,-9.175,2.48
8.193,-2.284,4.142
-2.94,10.333,20.121
-7.479,9.146,7.8
3.06,-11.928,1.149
-4.597,16.453,7.489
0.412,-12.57,6.397
-2.634,22.18,3.864
9.294,-7.556,1.35
-6.345,-5.219,29.248
-1.796,17.645,2.088
10.017,-6.134,9.414
11.133,-15.998,3.639
-4.204,-7.293,11.195
-16.367,9.007,23.377
-6.871,18.857,6.019
-4.405,11.976,10.558
11.186,-4.262,12.536
12.766,-12.364,-7.93
5.373,-13.427,11.77
-1.369,-6.431,16.194
-10.353,-2.035,16.051
-15.093,9.505,24.047
-16.755,17.248,17.454
-10.084,17.219,4.329
-5.842,15.495,0.124
8.677,2.461,6.402
11.937,-8.183,-0.747
11.085,-16.506,10.951
4.319,-12.038,1.781
2.385,-11.444,13.044
-17.937,10.233,14.236
11.961,-7.547,-5.689
3.697,4.539,12.273
2.107,8.633,9.452
12.1,-4.147,6.996
-4.855,-16.903,9.27
-10.563,9.495,2.298
6.795,-9.807,3.754
6.646,6.172,5.181
-10.108,3.175,8.356
-15.06,-2.222,12.933
-16.271,-2.533,15.476
-14.092,5.804,3.931
-7.039,0.541,5.143
11.952,-3.745,10.08
1.714,-7.8,18.1
2.787,0.546,1.872
-1.504,-4.76,16.372
7.192,-7.973,11.937
0.809,-0.096,4.563
-1.8,-2.14,7.187
-0.68,-2.772,9.39
-3.907,-2.887,13.733
-4.056,-2.069,12.177
-2.835,-3.792,7.934
-0.838,-4.554,8.576
-1.01,-3.505,9.668
2.595,0.081,10.659
-0.072,-0.196,8.782
2.298,-0.139,10.439
-1.547,-0.091,9.199
1.14,0.982,7.489
-1.408,-0.948,12.488
0.01,1.073,10.913
-1.068,1.259,8.825
-1.757,0.35,10.534
0.527,0.043,9.692
-2.552,0.493,9.787
0.488,0.819,9.045
-2.116,1.159,9.922
1.719,0.23,11.377
-1.556,-0.718,10.367
0.311,-1.714,11.942
-0.11,0.646,8.308
-0.546,0.991,8.825
2.088,0.029,9.285
-0.972,-0.373,8.317
-0.369,0.397,8.83
